checkId,name,category,psSourceFile:line,psCallsNearby,graphEndpointsNearby,keepDrop,saasEndpointOrPortal,requiredAppRole
DEFENDER-SECUREMON-001,Ensure continuous security monitoring via Microsoft Secure Score,SECUREMON,Security/Get-DefenderSecureMonConfig.ps1:83,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-SECURESCORE-001,Microsoft Secure Score Posture,SECURESCORE,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-VULNSCAN-001,Ensure vulnerability scanning is active via Defender for Endpoint,VULNSCAN,Security/Get-DefenderVulnScanConfig.ps1:93,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
DEFENDER-ZAP-001,Ensure Zero-hour auto purge for Microsoft Teams is on,ZAP,Security/DefenderPresetZapChecks.ps1:105,Get-AtpPolicyForO365; Get-Command,,TBD — needs research,Get-AtpPolicyForO365; Get-Command,TBD
ENTRA-ADMIN-003,Ensure two emergency access accounts have been defined,ADMIN,Entra/EntraAdminRoleChecks.ps1:522,Get-StrykerIncidentReadiness; Invoke-MgGraphRequest,"""/v1.0/directoryRoles/roleTemplateId=$gaRoleTemplateId/members?`$select=id,displayName,userPrincipalName""",Keep — Graph exists,"""/v1.0/directoryRoles/roleTemplateId=$gaRoleTemplateId/members?`$select=id,displayName,userPrincipalName""",TBD Graph
ENTRA-ADMINROLE-SEPARATION-001,Ensure Admin Accounts are Separated from Daily-Use Accounts,ADMINROLE,Entra/Get-EntraAdminRoleSeparationConfig.ps1:101,Invoke-MgGraphRequest,"""/v1.0/users/$userId/licenseDetails""",Keep — Graph exists,"""/v1.0/users/$userId/licenseDetails""",TBD Graph
ENTRA-APPS-002,App registrations with dangerous Intune write permissions,APPS,Security/Get-StrykerIncidentReadiness.ps1:381,Invoke-SafeGraphRequest; Get-MgServicePrincipal,"""/v1.0/applications?`$select=id,appId,displayName,requiredResourceAccess&`$top=999""",Keep — Graph exists,"""/v1.0/applications?`$select=id,appId,displayName,requiredResourceAccess&`$top=999""",TBD Graph
ENTRA-APPS-003,Ensure legacy MSOL and Azure AD PowerShell module access is blocked,APPS,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-AUTHMETHOD-005,Ensure authentication methods policy is fully migrated to the converged policy,AUTHMETHOD,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-AUTHMETHOD-006,Ensure suspicious activity reporting is enabled for MFA prompts,AUTHMETHOD,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-AUTHMETHOD-007,Ensure Temporary Access Pass authentication method is enabled,AUTHMETHOD,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-AUTHMETHOD-008,Ensure Temporary Access Pass is configured as single-use only,AUTHMETHOD,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-BREAKGLASS-001,No break-glass emergency access account detected,BREAKGLASS,Entra/EntraAdminRoleChecks.ps1:523,Get-StrykerIncidentReadiness; Invoke-MgGraphRequest,"""/v1.0/directoryRoles/roleTemplateId=$gaRoleTemplateId/members?`$select=id,displayName,userPrincipalName""",Keep — Graph exists,"""/v1.0/directoryRoles/roleTemplateId=$gaRoleTemplateId/members?`$select=id,displayName,userPrincipalName""",TBD Graph
ENTRA-BREAKGLASS-002,Ensure emergency access account activity is monitored,BREAKGLASS,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-CA-001,Enable Conditional Access policies to block legacy authentication,CA,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-CA-SESSIONFREQ-001,Ensure Conditional Access Enforces Session Sign-In Frequency,SESSIONFREQ,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-CONSENT-005,Ensure admin consent request has designated reviewers configured,CONSENT,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-CONSENT-006,Ensure admin consent request sends email notifications to reviewers,CONSENT,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-GROUP-004,Dynamic groups with user-controllable membership rules in privileged contexts,GROUP,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-GROUP-005,Sensitive groups not protected with role-assignable flag,GROUP,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-GROUP-006,Public M365 groups count,GROUP,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-HYBRID-002,On-premises synced users holding Tier-0/1 Entra roles,HYBRID,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-MFA-002,Percentage of users without MFA method registered,MFA,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-PIM-006,Tier-0 role activation duration exceeds 4 hours,PIM,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-PIM-007,Justification not required on Tier-0 role activation,PIM,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-PIM-008,MFA not required on Tier-0 role activation,PIM,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-PIM-009,Permanent eligible assignments allowed for Tier-0 roles,PIM,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-PIM-010,No admin notification on Tier-0 role activation,PIM,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-PRIVREMOTE-001,Ensure privileged commands require PIM activation for remote access,PRIVREMOTE,Entra/Get-EntraPrivRemoteConfig.ps1:120,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-ROLEGROUP-001,Unprotected groups in privileged role assignments,ROLEGROUP,Security/Get-StrykerIncidentReadiness.ps1:320,Get-MgDirectoryRole; Invoke-MgGraphRequest,"""/v1.0/directoryRoles/$($role.Id)/members""; ""/v1.0/groups/$($member.id)/members/`$count""",Keep — Graph exists,"""/v1.0/directoryRoles/$($role.Id)/members""; ""/v1.0/groups/$($member.id)/members/`$count""",TBD Graph
ENTRA-SESSION-001,Ensure the option to remain signed in is hidden,SESSION,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-SESSIONAUTH-001,Ensure Legacy Authentication Protocols are Blocked to Protect Session Authenticity,SESSIONAUTH,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-SOD-001,Ensure separation of duties for critical admin roles,SOD,Entra/Get-EntraSoDConfig.ps1:101,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-SSPR-002,SSPR enabled for admin accounts,SSPR,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
ENTRA-STALEADMIN-001,Admin accounts inactive for more than 90 days,STALEADMIN,Security/Get-StrykerIncidentReadiness.ps1:111,Get-AdminMap; Get-MgDirectoryRole; Get-MgDirectoryRoleMemberAsUser; Get-Date,"""/v1.0/users?`$filter=id in ($idFilter)&`$select=id,displayName,userPrincipalName,signInActivity""",TBD — needs research,"""/v1.0/users?`$filter=id in ($idFilter)&`$select=id,displayName,userPrincipalName,signInActivity"" Get-AdminMap; Get-MgDirectoryRole; Get-MgDirectoryRoleMemberAsUser; Get-Date",TBD
ENTRA-SYNCADMIN-001,On-premises synced admin accounts (compromise path),SYNCADMIN,Security/Get-StrykerIncidentReadiness.ps1:203,Get-AdminMap,,TBD — needs research,Get-AdminMap,TBD
ENTRA-TOU-001,Ensure Terms of Use agreement policy is configured,TOU,Entra/Get-EntraTouConfig.ps1:75,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
EXO-ADDINS-001,Ensure users installing Outlook add-ins is not allowed,ADDINS,Exchange-Online/Get-ExoSecurityConfig.ps1:363,Get-RoleAssignmentPolicy; Get-HostedConnectionFilterPolicy,,TBD — needs research,Get-RoleAssignmentPolicy; Get-HostedConnectionFilterPolicy,TBD
EXO-ANTIPHISH-001,Anti-Phishing Policy Configuration,ANTIPHISH,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
EXO-ANTISPAM-001,Anti-Spam Policy Configuration,ANTISPAM,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
EXO-AUDIT-001,Ensure 'AuditDisabled' organizationally is set to 'False',AUDIT,Exchange-Online/Get-ExoSecurityConfig.ps1:79,Get-OrganizationConfig; Invoke-MgGraphRequest,'/v1.0/subscribedSkus',Keep — Graph exists,'/v1.0/subscribedSkus',TBD Graph
EXO-AUDIT-002,Ensure 'AuditBypassEnabled' is not enabled on mailboxes,AUDIT,Exchange-Online/Get-ExoSecurityConfig.ps1:313,Get-MailboxAuditBypassAssociation; Get-TransportConfig,,TBD — needs research,Get-MailboxAuditBypassAssociation; Get-TransportConfig,TBD
EXO-AUDIT-003,Ensure mailbox audit actions are configured,AUDIT,Exchange-Online/Get-ExoSecurityConfig.ps1:470,Get-Mailbox,,TBD — needs research,Get-Mailbox,TBD
EXO-AUTH-001,Ensure modern authentication for Exchange Online is enabled,AUTH,Common/SecurityConfigHelper.ps1:127,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
EXO-AUTH-002,Ensure SMTP AUTH is disabled,AUTH,Exchange-Online/Get-ExoSecurityConfig.ps1:336,Get-TransportConfig; Get-RoleAssignmentPolicy,,TBD — needs research,Get-TransportConfig; Get-RoleAssignmentPolicy,TBD
EXO-CONNFILTER-001,Ensure the connection filter IP allow list is not used,CONNFILTER,Exchange-Online/Get-ExoSecurityConfig.ps1:392,Get-HostedConnectionFilterPolicy,,TBD — needs research,Get-HostedConnectionFilterPolicy,TBD
EXO-CONNFILTER-002,Ensure the connection filter safe list is off,CONNFILTER,Exchange-Online/Get-ExoSecurityConfig.ps1:405,Get-TransportRule,,"Drop — PS-only, Skipped(not_implemented)",Portal: Exchange admin center,— (portal remediation)
EXO-DIRECTSEND-001,Ensure Direct Send is not allowed for unauthorized relay,DIRECTSEND,Exchange-Online/Get-ExoSecurityConfig.ps1:602,Get-Command; Get-InboundConnector,,TBD — needs research,Get-Command; Get-InboundConnector,TBD
EXO-DKIM-001,DKIM Signing Configuration,DKIM,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
EXO-EXTTAG-001,Ensure email from external senders is identified,EXTTAG,Exchange-Online/Get-ExoSecurityConfig.ps1:198,Get-ExternalInOutlook,,TBD — needs research,Get-ExternalInOutlook,TBD
EXO-FORWARD-001,Ensure all forms of mail forwarding are blocked and/or disabled,FORWARD,Exchange-Online/Get-ExoSecurityConfig.ps1:236,Get-ExternalInOutlook; Get-RemoteDomain; Get-OwaMailboxPolicy,,TBD — needs research,Get-ExternalInOutlook; Get-RemoteDomain; Get-OwaMailboxPolicy,TBD
EXO-HIDDEN-001,Ensure no user mailboxes are hidden from the Global Address List,HIDDEN,Exchange-Online/Get-ExoSecurityConfig.ps1:652,Get-EXOMailbox; Get-Mailbox,,"Drop — PS-only, Skipped(not_implemented)",Portal: Exchange admin center,— (portal remediation)
EXO-MAILTIPS-001,Ensure MailTips are enabled for end users,MAILTIPS,Exchange-Online/Get-ExoSecurityConfig.ps1:139,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
EXO-MALWARE-001,Malware Filter Policy Configuration,MALWARE,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
EXO-OWA-001,Ensure additional storage providers are restricted in Outlook on the web,OWA,Exchange-Online/Get-ExoSecurityConfig.ps1:259,Get-OwaMailboxPolicy; Get-SharingPolicy,,TBD — needs research,Get-OwaMailboxPolicy; Get-SharingPolicy,TBD
EXO-SHARING-001,Ensure 'External sharing' of calendars is not available,SHARING,Exchange-Online/Get-ExoSecurityConfig.ps1:288,Get-SharingPolicy; Get-MailboxAuditBypassAssociation,,TBD — needs research,Get-SharingPolicy; Get-MailboxAuditBypassAssociation,TBD
EXO-TRANSPORT-001,Ensure mail transport rules do not whitelist specific domains,TRANSPORT,Exchange-Online/Get-ExoSecurityConfig.ps1:433,Get-TransportRule,,"Drop — PS-only, Skipped(not_implemented)",Portal: Exchange admin center,— (portal remediation)
EXO-TRANSPORT-002,Transport Rule Configuration for External Forwarding,TRANSPORT,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
FORMS-CONFIG-003,Ensure external users cannot view form results,CONFIG,Collaboration/Get-FormsSecurityConfig.ps1:101,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
FORMS-CONFIG-006,Ensure Bing image and video search is disabled in Forms,CONFIG,Collaboration/Get-FormsSecurityConfig.ps1:140,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-APPCONTROL-001,Ensure application control policies restrict unauthorized software,APPCONTROL,Intune/Get-IntuneAppControlConfig.ps1:80,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
INTUNE-AUTODISC-001,Ensure automated device discovery and enrollment is configured,AUTODISC,Intune/Get-IntuneAutoDiscConfig.ps1:77,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
INTUNE-ENCRYPTION-001,Device Encryption Policy,ENCRYPTION,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-ENROLLMENT-001,Device Enrollment Restrictions,ENROLLMENT,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-FIPS-001,Ensure FIPS-validated cryptography is enforced on managed devices,FIPS,Intune/Get-IntuneFipsConfig.ps1:86,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-INVENTORY-001,Ensure Intune serves as authoritative device inventory with categories,INVENTORY,Common/Build-IntuneOverviewHtml.ps1:62,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-MAA-001,Multi-Admin Approval not enabled for destructive operations,MAA,Security/Get-StrykerIncidentReadiness.ps1:450,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
INTUNE-MOBILECODE-001,Ensure PowerShell Execution Policy Restricts Script Execution on Managed Devices,MOBILECODE,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-MOBILEENCRYPT-001,Ensure mobile device compliance policies require encryption,MOBILEENCRYPT,Intune/Get-IntuneMobileEncryptConfig.ps1:79,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
INTUNE-PORTSTORAGE-001,Ensure portable storage devices are restricted on external systems,PORTSTORAGE,Intune/Get-IntunePortStorageConfig.ps1:73,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
INTUNE-RBAC-001,RBAC role assignments without scope tags,RBAC,Security/Get-StrykerIncidentReadiness.ps1:495,Invoke-MgGraphRequest,"""/v1.0/deviceManagement/roleDefinitions""; ""/v1.0/deviceManagement/roleDefinitions/$($roleDef.id)/roleAssignments""",Keep — Graph exists,"""/v1.0/deviceManagement/roleDefinitions""; ""/v1.0/deviceManagement/roleDefinitions/$($roleDef.id)/roleAssignments""",TBD Graph
INTUNE-REMOTEVPN-001,Ensure Always-On VPN Is Configured for Managed Remote Devices,REMOTEVPN,Intune/Get-IntuneAlwaysOnVpnConfig.ps1:104,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-REMOVABLEMEDIA-001,Ensure Removable Media Use is Blocked on Managed Devices,REMOVABLEMEDIA,Intune/Get-IntuneRemovableMediaConfig.ps1:76,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
INTUNE-SECURITY-001,Device Compliance Policy Baseline,SECURITY,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-UPDATE-001,Windows Update Ring Configuration,UPDATE,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-VPNCONFIG-001,Ensure VPN Split Tunneling is Prevented on Managed Devices,VPNCONFIG,Intune/Get-IntuneVpnSplitTunnelConfig.ps1:102,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-WIFI-001,Ensure WiFi Enterprise Authentication and Encryption on Managed Devices,WIFI,Intune/Get-IntuneWifiEapConfig.ps1:104,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
INTUNE-WIPEAUDIT-001,Mass device wipe activity detected (attack indicator),WIPEAUDIT,Security/Get-StrykerIncidentReadiness.ps1:654,Get-Date; Invoke-MgGraphRequest,"""/v1.0/deviceManagement/auditEvents?`$filter=activityDateTime ge $startDate and (activityType eq '",Keep — Graph exists,"""/v1.0/deviceManagement/auditEvents?`$filter=activityDateTime ge $startDate and (activityType eq '",TBD Graph
PBI-API-001,Ensure access to APIs by Service Principals is restricted in Power BI,API,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-AUTH-001,Ensure 'Block ResourceKey Authentication' is 'Enabled' in Power BI,AUTH,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-CONTENT-001,Ensure guest access to content is restricted in Power BI,CONTENT,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-GUEST-001,Ensure guest user access is restricted in Power BI,GUEST,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-INVITE-001,Ensure external user invitations are restricted in Power BI,INVITE,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-LABELS-001,Ensure 'Allow users to apply sensitivity labels for content' is 'Enabled' in Power BI,LABELS,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-LINK-001,Ensure shareable links are restricted in Power BI,LINK,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-PROFILE-001,Ensure Service Principals cannot create and use profiles in Power BI,PROFILE,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-PUBLISH-001,Ensure 'Publish to web' is restricted in Power BI,PUBLISH,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-SCRIPT-001,Ensure 'Interact with and share R and Python' visuals is 'Disabled' in Power BI,SCRIPT,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-SHARING-001,Ensure enabling of external data sharing is restricted in Power BI,SHARING,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-TENANT-001,Power BI External Sharing Configuration,TENANT,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-TENANT-002,Power BI Publish to Web Configuration,TENANT,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PBI-TENANT-003,Power BI Guest Access Configuration,TENANT,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
POWERBI-SERVICEPRINCIPAL-001,"Ensure service principals are restricted from creating Power BI workspaces, connections and deployment pipelines",CONFIG,,,,Drop (deduped 06b-02 canonical 11),Alias to POWERBI-* via canonicalRegistryChecks,—
PURVIEW-AUDIT-001,Unified Audit Logging Enabled,AUDIT,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-ACCESS-001,Conditional Access policy coverage for SharePoint,ACCESS,Collaboration/Get-SharePointSecurityConfig.ps1:891,Get-SPOSite; Get-SPOSiteAdministrator,,"Drop — PS-only, Skipped(not_implemented)",Portal: SharePoint/Teams admin,— (portal remediation)
SPO-ACCESS-002,Unmanaged device sync restriction,ACCESS,Collaboration/Get-SharePointSecurityConfig.ps1:947,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-B2B-001,Ensure SharePoint and OneDrive integration with Azure AD B2B is enabled,B2B,Collaboration/Get-SharePointSecurityConfig.ps1:564,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
SPO-CUIACCESS-001,Ensure SharePoint External Sharing Restricts Access to CUI on Digital Media,CUIACCESS,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-LOOP-001,Loop Components Enabled,LOOP,Collaboration/Get-SharePointSecurityConfig.ps1:252,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-LOOP-002,OneDrive Loop Sharing,LOOP,Collaboration/Get-SharePointSecurityConfig.ps1:289,Invoke-MgGraphRequest,'/v1.0/policies/activityBasedTimeoutPolicies',Keep — Graph exists,'/v1.0/policies/activityBasedTimeoutPolicies',TBD Graph
SPO-MALWARE-002,Ensure Office 365 SharePoint infected files are disallowed for download,MALWARE,Collaboration/Get-SharePointSecurityConfig.ps1:651,Get-SPOTenant,,TBD — needs research,Get-SPOTenant,TBD
SPO-OD-001,Ensure OneDrive content sharing is restricted,OD,Collaboration/Get-SharePointSecurityConfig.ps1:616,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-SCRIPT-001,Ensure custom script execution is restricted on personal sites,SCRIPT,Collaboration/Get-SharePointSecurityConfig.ps1:707,Get-SPOTenant; Get-SPOSite,,"Drop — PS-only, Skipped(not_implemented)",Portal: SharePoint/Teams admin,— (portal remediation)
SPO-SCRIPT-002,Ensure custom script execution is restricted on site collections,SCRIPT,Collaboration/Get-SharePointSecurityConfig.ps1:729,Get-SPOTenant,,TBD — needs research,Get-SPOTenant,TBD
SPO-SESSION-001,Ensure 'Idle session timeout' is set to '3 hours (or less)' for unmanaged devices,SESSION,Collaboration/Get-SharePointSecurityConfig.ps1:317,Invoke-MgGraphRequest,'/v1.0/policies/activityBasedTimeoutPolicies',Keep — Graph exists,'/v1.0/policies/activityBasedTimeoutPolicies',TBD Graph
SPO-SHARING-005,Ensure guest access to a site or OneDrive will expire automatically,SHARING,Collaboration/Get-SharePointSecurityConfig.ps1:398,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-SHARING-006,Ensure reauthentication with verification code is restricted,SHARING,Collaboration/Get-SharePointSecurityConfig.ps1:439,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-SHARING-007,Ensure the SharePoint default sharing link permission is set,SHARING,Collaboration/Get-SharePointSecurityConfig.ps1:490,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-SHARING-008,Ensure external sharing is restricted by security group,SHARING,Collaboration/Get-SharePointSecurityConfig.ps1:685,Get-SPOTenant; Get-SPOSite,,"Drop — PS-only, Skipped(not_implemented)",Portal: SharePoint/Teams admin,— (portal remediation)
SPO-SITE-001,Site sharing level within tenant policy,SITE,Collaboration/Get-SharePointSecurityConfig.ps1:741,Get-SPOTenant,,TBD — needs research,Get-SPOTenant,TBD
SPO-SITE-002,Sensitive sites have restricted external sharing,SITE,Collaboration/Get-SharePointSecurityConfig.ps1:802,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-SITE-003,Site collection administrator visibility,SITE,Collaboration/Get-SharePointSecurityConfig.ps1:872,Get-SPOSite; Get-SPOSiteAdministrator,,"Drop — PS-only, Skipped(not_implemented)",Portal: SharePoint/Teams admin,— (portal remediation)
SPO-SWAY-001,Ensure that Sways cannot be shared with people outside of your organization,SWAY,,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-SYNC-002,Mac Sync App Enabled,SYNC,Collaboration/Get-SharePointSecurityConfig.ps1:232,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
SPO-VERSIONING-001,Version history configuration,VERSIONING,Collaboration/Get-SharePointSecurityConfig.ps1:967,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
TEAMS-APPS-002,Ensure app permission policies are configured,APPS,Collaboration/Get-TeamsSecurityConfig.ps1:450,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
TEAMS-CLIENT-001,Ensure external file sharing in Teams is enabled for only approved cloud storage services,CLIENT,Collaboration/Get-TeamsSecurityConfig.ps1:174,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
TEAMS-CLIENT-002,Ensure users can't send emails to a channel email address,CLIENT,Collaboration/Get-TeamsSecurityConfig.ps1:187,,,TBD — no PS source found (registry only),Check registry frameworks mapping,TBD
TEAMS-EXTACCESS-001,Ensure communication with unmanaged Teams users is disabled,EXTACCESS,Collaboration/Get-TeamsSecurityConfig.ps1:143,Invoke-MgGraphRequest,,Keep — Graph exists,Invoke-MgGraphRequest,TBD Graph
